Title: Depleted MORB Mantle of Workmann & Hart 2005

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 garnet_0 orthopyroxene_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 spinel_0 
29001.00 1347.74 100.138985 0.000000 58.744528 10.023348 16.108647 13.842534 0.000000 0.000000 1.419928 
28901.00 1347.52 100.138985 0.000000 58.738457 9.981024 16.138698 13.854455 0.000000 0.000000 1.426351 
28801.00 1347.30 100.138985 0.000000 58.732266 9.938115 16.169157 13.866548 0.000000 0.000000 1.432899 
28701.00 1347.07 100.138985 0.000000 58.725955 9.894609 16.200032 13.878815 0.000000 0.000000 1.439575 
28601.00 1346.85 100.138985 0.000000 58.719518 9.850494 16.231331 13.891260 0.000000 0.000000 1.446381 
28501.00 1346.63 100.138985 0.000000 58.712954 9.805758 16.263065 13.903886 0.000000 0.000000 1.453322 
28401.00 1346.40 100.138985 0.000000 58.706259 9.760387 16.295242 13.916697 0.000000 0.000000 1.460400 
28301.00 1346.18 100.138985 0.000000 58.699430 9.714368 16.327871 13.929698 0.000000 0.000000 1.467618 
28201.00 1345.95 100.138985 0.000000 58.692463 9.667687 16.360963 13.942890 0.000000 0.000000 1.474981 
28101.00 1345.73 100.138985 0.000000 58.685355 9.620330 16.394528 13.956279 0.000000 0.000000 1.482492 
28001.00 1345.50 100.138985 0.000000 58.678103 9.572283 16.428575 13.969869 0.000000 0.000000 1.490155 
27901.00 1345.27 100.138985 0.000000 58.670703 9.523531 16.463115 13.983663 0.000000 0.000000 1.497973 
27801.00 1345.05 100.138985 0.000000 58.663150 9.474058 16.498160 13.997666 0.000000 0.000000 1.505950 
27701.00 1344.82 100.138985 0.000000 58.655442 9.423849 16.533720 14.011883 0.000000 0.000000 1.514091 
27601.00 1344.59 100.138985 0.000000 58.647574 9.372888 16.569807 14.026317 0.000000 0.000000 1.522399 
27501.00 1344.37 100.138985 0.000000 58.639543 9.321159 16.606432 14.040973 0.000000 0.000000 1.530879 
27401.00 1344.14 100.138985 0.000000 58.631343 9.268643 16.643608 14.055856 0.000000 0.000000 1.539535 
27301.00 1343.91 100.138985 0.000000 58.622971 9.215324 16.681346 14.070971 0.000000 0.000000 1.548372 
27201.00 1343.68 100.138985 0.000000 58.614422 9.161184 16.719661 14.086324 0.000000 0.000000 1.557394 
27101.00 1343.45 100.138985 0.000000 58.605691 9.106204 16.758565 14.101918 0.000000 0.000000 1.566607 
27001.00 1343.22 100.138985 0.000000 58.596774 9.050365 16.798071 14.117760 0.000000 0.000000 1.576015 
26901.00 1342.99 100.138985 0.000000 58.587667 8.993648 16.838194 14.133854 0.000000 0.000000 1.585623 
26801.00 1342.76 100.138985 0.000000 58.578363 8.936032 16.878947 14.150207 0.000000 0.000000 1.595436 
26701.00 1342.53 100.138985 0.000000 58.568858 8.877496 16.920346 14.166825 0.000000 0.000000 1.605460 
26601.00 1342.30 100.138985 0.000000 58.559146 8.818020 16.962405 14.183713 0.000000 0.000000 1.615701 
26501.00 1342.07 100.138985 0.000000 58.549222 8.757581 17.005141 14.200877 0.000000 0.000000 1.626164 
26401.00 1341.83 100.138985 0.000000 58.539081 8.696156 17.048569 14.218325 0.000000 0.000000 1.636855 
26301.00 1341.60 100.138985 0.000000 58.528716 8.633722 17.092705 14.236062 0.000000 0.000000 1.647780 
26201.00 1341.37 100.138985 0.000000 58.518121 8.570256 17.137568 14.254095 0.000000 0.000000 1.658946 
26101.00 1341.13 100.138985 0.000000 58.507290 8.505731 17.183174 14.272431 0.000000 0.000000 1.670359 
26001.00 1340.90 100.138985 0.000000 58.496216 8.440124 17.229541 14.291078 0.000000 0.000000 1.682025 
25901.00 1340.66 100.138985 0.000000 58.484894 8.373406 17.276689 14.310043 0.000000 0.000000 1.693953 
25801.00 1340.43 100.138985 0.000000 58.473316 8.305552 17.324636 14.329333 0.000000 0.000000 1.706148 
25701.00 1340.19 100.138985 0.000000 58.461475 8.236532 17.373402 14.348957 0.000000 0.000000 1.718618 
25601.00 1339.96 100.138985 0.000000 58.449364 8.166318 17.423009 14.368923 0.000000 0.000000 1.731372 
25501.00 1339.72 100.138985 0.000000 58.436974 8.094880 17.473476 14.389239 0.000000 0.000000 1.744416 
25401.00 1339.48 100.138985 0.000000 58.424300 8.022187 17.524825 14.409914 0.000000 0.000000 1.757759 
25301.00 1339.24 100.138985 0.000000 58.411331 7.948207 17.577081 14.430957 0.000000 0.000000 1.771409 
25201.00 1339.00 100.138985 0.000000 58.398060 7.872907 17.630264 14.452378 0.000000 0.000000 1.785376 
25101.00 1338.76 100.138985 0.000000 58.384478 7.796253 17.684401 14.474186 0.000000 0.000000 1.799667 
25001.00 1338.52 100.138985 0.000000 58.370577 7.718209 17.739514 14.496391 0.000000 0.000000 1.814293 
24901.00 1338.28 100.138985 0.000000 58.356346 7.638739 17.795631 14.519004 0.000000 0.000000 1.829264 
24801.00 1338.04 100.138985 0.000000 58.341777 7.557806 17.852778 14.542035 0.000000 0.000000 1.844589 
24701.00 1337.79 100.138985 0.000000 58.326859 7.475369 17.910982 14.565496 0.000000 0.000000 1.860278 
24601.00 1337.55 100.138985 0.000000 58.311582 7.391389 17.970272 14.589399 0.000000 0.000000 1.876343 
24501.00 1337.31 100.138985 0.000000 58.295935 7.305824 18.030678 14.613755 0.000000 0.000000 1.892794 
24401.00 1337.06 100.138985 0.000000 58.279907 7.218629 18.092229 14.638576 0.000000 0.000000 1.909643 
24301.00 1336.82 100.138985 0.000000 58.263487 7.129761 18.154957 14.663877 0.000000 0.000000 1.926903 
24201.00 1336.57 100.138985 0.000000 58.246662 7.039172 18.218896 14.689669 0.000000 0.000000 1.944586 
24101.00 1336.32 100.138985 0.000000 58.229421 6.946813 18.284079 14.715968 0.000000 0.000000 1.962704 
24001.00 1336.07 100.138985 0.000000 58.211750 6.852635 18.350542 14.742788 0.000000 0.000000 1.981271 
23901.00 1335.82 100.138985 0.000000 58.193635 6.756584 18.418321 14.770144 0.000000 0.000000 2.000301 
23801.00 1335.57 100.138985 0.000000 58.175063 6.658608 18.487453 14.798051 0.000000 0.000000 2.019809 
23701.00 1335.32 100.138985 0.000000 58.156020 6.558648 18.557980 14.826526 0.000000 0.000000 2.039810 
23601.00 1335.07 100.138985 0.000000 58.136490 6.456648 18.629941 14.855587 0.000000 0.000000 2.060319 
23501.00 1334.82 100.138985 0.000000 58.116457 6.352545 18.703380 14.885250 0.000000 0.000000 2.081354 
23401.00 1334.56 100.138985 0.000000 58.095905 6.246277 18.778339 14.915534 0.000000 0.000000 2.102930 
23301.00 1334.31 100.138985 0.000000 58.074817 6.137776 18.854867 14.946458 0.000000 0.000000 2.125066 
23201.00 1334.05 100.138985 0.000000 58.053175 6.026976 18.933009 14.978044 0.000000 0.000000 2.147780 
23101.00 1333.80 100.138985 0.000000 58.030961 5.913803 19.012817 15.010310 0.000000 0.000000 2.171092 
23001.00 1333.54 100.138985 0.000000 58.008156 5.798184 19.094343 15.043280 0.000000 0.000000 2.195022 
22901.00 1333.28 100.138985 0.000000 57.984738 5.680041 19.177639 15.076976 0.000000 0.000000 2.219590 
22801.00 1333.02 100.138985 0.000000 57.960688 5.559293 19.262763 15.111422 0.000000 0.000000 2.244819 
22701.00 1332.76 100.138985 0.000000 57.935983 5.435854 19.349773 15.146643 0.000000 0.000000 2.270731 
22601.00 1332.49 100.138985 0.000000 57.910600 5.309638 19.438731 15.182665 0.000000 0.000000 2.297351 
22501.00 1332.23 100.138985 0.000000 57.884515 5.180551 19.529700 15.219515 0.000000 0.000000 2.324703 
22401.00 1331.96 100.138985 0.000000 57.857703 5.048498 19.622748 15.257222 0.000000 0.000000 2.352813 
22301.00 1331.70 100.138985 0.000000 57.830139 4.913378 19.717943 15.295816 0.000000 0.000000 2.381709 
22201.00 1331.43 100.138985 0.000000 57.801793 4.775086 19.815359 15.335327 0.000000 0.000000 2.411419 
22101.00 1331.16 100.138985 0.000000 57.772639 4.633512 19.915072 15.375789 0.000000 0.000000 2.441974 
