Title: Depleted MORB Mantle of Workmann & Hart 2005

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CaO Na2O
4801.00 1210.30 2.969250 6.923695 -35363.569019 0.781841 3.603504 Fe''0.16Mg0.86Fe'''0.05Al1.53Cr0.40Ti0.01O4 0 0.566613 48.9855 2.65374 19.057 7.01269 0 21.7245 0 0 0
4701.00 1209.38 2.949054 6.872974 -35099.454383 0.776251 3.577300 Fe''0.16Mg0.86Fe'''0.05Al1.52Cr0.40Ti0.01O4 0 0.56599 48.8592 2.67209 19.181 7.00722 0 21.7145 0 0 0
4601.00 1208.45 2.928772 6.822010 -34834.298587 0.770638 3.550986 Fe''0.15Mg0.86Fe'''0.05Al1.52Cr0.40Ti0.01O4 0 0.565045 48.7315 2.69037 19.3072 7.0016 0 21.7043 0 0 0
4501.00 1207.49 2.908412 6.770830 -34568.206365 0.765004 3.524573 Fe''0.15Mg0.86Fe'''0.05Al1.52Cr0.41Ti0.01O4 0 0.563786 48.6024 2.70857 19.4356 6.99582 0 21.6939 0 0 0
4401.00 1206.51 2.887985 6.719460 -34301.289059 0.759350 3.498074 Fe''0.15Mg0.86Fe'''0.05Al1.51Cr0.41Ti0.01O4 0 0.56222 48.4718 2.72667 19.5663 6.98992 0 21.6832 0 0 0
4301.00 1205.51 2.867498 6.667925 -34033.651273 0.753681 3.471500 Fe''0.15Mg0.86Fe'''0.05Al1.51Cr0.41Ti0.01O4 0 0.560357 48.3396 2.74467 19.6992 6.9839 0 21.6722 0 0 0
4201.00 1204.50 2.846960 6.616248 -33765.373187 0.747998 3.444861 Fe''0.15Mg0.86Fe'''0.06Al1.51Cr0.42Ti0.01O4 0 0.558208 48.206 2.76255 19.8344 6.97778 0 21.6611 0 0 0
4101.00 1203.47 2.826373 6.564442 -33496.487780 0.742301 3.418161 Fe''0.15Mg0.86Fe'''0.06Al1.50Cr0.42Ti0.01O4 0 0.555787 48.0708 2.7803 19.9719 6.97158 0 21.6496 0 0 0
4001.00 1202.42 2.805737 6.512507 -33226.952319 0.736590 3.391399 Fe''0.15Mg0.86Fe'''0.06Al1.50Cr0.42Ti0.01O4 0 0.553109 47.9339 2.79791 20.1119 6.96533 0 21.6378 0 0 0
3901.00 1201.37 2.785043 6.460425 -32956.613774 0.730863 3.364563 Fe''0.15Mg0.86Fe'''0.06Al1.50Cr0.43Ti0.01O4 0 0.550191 47.7951 2.8154 20.2545 6.95904 0 21.6258 0 0 0
3801.00 1200.30 2.764269 6.408152 -32685.168143 0.725114 3.337625 Fe''0.15Mg0.86Fe'''0.06Al1.49Cr0.43Ti0.01O4 0 0.547053 47.6542 2.83278 20.3998 6.95277 0 21.6134 0 0 0
3701.00 1199.22 2.743383 6.355608 -32412.114555 0.719333 3.310542 Fe''0.15Mg0.86Fe'''0.06Al1.49Cr0.43Ti0.01O4 0 0.543719 47.5108 2.85007 20.5484 6.94655 0 21.6005 0 0 0
